uid,namedLocation,domainID,siteID,plotID,subplotID,trapID,decimalLatitude,decimalLongitude,elevation,nlcdClass,plotType,geodeticDatum,coordinateUncertainty,elevationUncertainty,date,samplingProtocolVersion,targetTaxaPresent,trapType,trapPlacement,trapSize,remarks,recordedBy
"fa7a490c-9937-4d83-8b29-9056fe7c3cc3","NIWO_062.basePlot.ltr","D13","NIWO","NIWO_062","31","NIWO_062_050",40.051140,-105.585787,3477.0,"shrubScrub","tower","WGS84",10.1,0.1,"2015-07-15","NEON.DOC.001710vB","Y","Elevated","Targeted",0.5,"measuredBy, recordedBy, and setDate not reported","tdelpriore@neoninc.org"
"fa5b63f7-dd6e-41c1-921c-647709f0ea6f","NIWO_051.basePlot.ltr","D13","NIWO","NIWO_051","32","NIWO_051_103",40.048439,-105.585417,3427.4,"grasslandHerbaceous","tower","WGS84",10.1,0.1,"2015-07-15","NEON.DOC.001710vB","Y","Ground","Targeted",1.5,"measuredBy, recordedBy, and setDate not reported","tdelpriore@neoninc.org"
"f6bf0ef0-131f-40c1-a786-8b1ba15d9c7d","NIWO_062.basePlot.ltr","D13","NIWO","NIWO_062","32","NIWO_062_092",40.051140,-105.585787,3477.0,"shrubScrub","tower","WGS84",10.1,0.1,"2015-07-15","NEON.DOC.001710vB","Y","Ground","Targeted",1.5,"measuredBy, recordedBy, and setDate not reported","tdelpriore@neoninc.org"
"d42bc39b-db83-4210-9ac5-d3de4354b7e0","NIWO_067.basePlot.ltr","D13","NIWO","NIWO_067","31","NIWO_067_043",40.049790,-105.585046,3443.5,"grasslandHerbaceous","tower","WGS84",10.1,0.1,"2015-07-15","NEON.DOC.001710vB","Y","Ground","Targeted",1.5,"measuredBy, recordedBy, and setDate not reported","tdelpriore@neoninc.org"
"6958a23d-6295-4c10-9475-a316e7b82888","NIWO_051.basePlot.ltr","D13","NIWO","NIWO_051","31","NIWO_051_045",40.048439,-105.585417,3427.4,"grasslandHerbaceous","tower","WGS84",10.1,0.1,"2015-07-15","NEON.DOC.001710vB","Y","Elevated","Targeted",0.5,"measuredBy, recordedBy, and setDate not reported","tdelpriore@neoninc.org"
"8e201abf-cc3b-49ae-9ae1-dec3c45ecdc7","NIWO_057.basePlot.ltr","D13","NIWO","NIWO_057","32","NIWO_057_095",40.047082,-105.585059,3382.5,"evergreenForest","tower","WGS84",10.2,0.3,"2015-07-15","NEON.DOC.001710vB","Y","Ground","Targeted",1.5,"measuredBy, recordedBy, and setDate not reported","tdelpriore@neoninc.org"
"58a5c02f-1573-4888-8039-de9ef96e3724","NIWO_041.basePlot.ltr","D13","NIWO","NIWO_041","41","NIWO_041_144",40.050349,-105.582965,3425.6,"shrubScrub","tower","WGS84",20.2,0.2,"2015-07-15","NEON.DOC.001710vB","Y","Ground","Targeted",1.5,"measuredBy, recordedBy, and setDate not reported","tdelpriore@neoninc.org"
"809aa13e-15a4-475d-a474-58183f3ae9dd","NIWO_046.basePlot.ltr","D13","NIWO","NIWO_046","40","NIWO_046_155",40.048158,-105.586127,3426.9,"shrubScrub","tower","WGS84",10.1,0.1,"2015-07-15","NEON.DOC.001710vB","Y","Elevated","Targeted",0.5,"measuredBy, recordedBy, and setDate not reported","tdelpriore@neoninc.org"
"6c40a6f8-9b9c-422c-9333-7cc7969a5350","NIWO_057.basePlot.ltr","D13","NIWO","NIWO_057","31","NIWO_057_081",40.047082,-105.585059,3382.5,"evergreenForest","tower","WGS84",10.2,0.3,"2015-07-15","NEON.DOC.001710vB","Y","Elevated","Targeted",0.5,"measuredBy, recordedBy, and setDate not reported","tdelpriore@neoninc.org"
"7f1e3c78-f56a-4db3-bd74-b8eb5214df25","NIWO_063.basePlot.ltr","D13","NIWO","NIWO_063","32","NIWO_063_062",40.048980,-105.585058,3432.7,"shrubScrub","tower","WGS84",10.1,0.1,"2015-07-15","NEON.DOC.001710vB","Y","Elevated","Targeted",0.5,"measuredBy, recordedBy, and setDate not reported","tdelpriore@neoninc.org"
"8434ddcb-92c2-4ea1-97a7-6f8aaaf6204e","NIWO_064.basePlot.ltr","D13","NIWO","NIWO_064","32","NIWO_064_103",40.047370,-105.583997,3373.2,"evergreenForest","tower","WGS84",10.1,0.1,"2015-07-15","NEON.DOC.001710vB","Y","Elevated","Targeted",0.5,"measuredBy, recordedBy, and setDate not reported","tdelpriore@neoninc.org"
"01551580-266c-4b37-b9eb-00f1f3078f02","NIWO_064.basePlot.ltr","D13","NIWO","NIWO_064","40","NIWO_064_159",40.047370,-105.583997,3373.2,"evergreenForest","tower","WGS84",10.1,0.1,"2015-07-15","NEON.DOC.001710vB","Y","Ground","Targeted",1.5,"measuredBy, recordedBy, and setDate not reported","tdelpriore@neoninc.org"
"e572675f-6f04-4ec2-8033-c195c01e75cf","NIWO_041.basePlot.ltr","D13","NIWO","NIWO_041","32","NIWO_041_059",40.050349,-105.582965,3425.6,"shrubScrub","tower","WGS84",20.2,0.2,"2015-07-15","NEON.DOC.001710vB","Y","Elevated","Targeted",0.5,"measuredBy, recordedBy, and setDate not reported","tdelpriore@neoninc.org"
