"Date","Source","Site ID","POC","Daily Max 8-hour Ozone Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"03/01/2018","AQS","370030005","1","0.043","ppm","40","Taylorsville Liledoun","17","100.0000","44201","Ozone","25860","Hickory-Lenoir-Morganton, NC","37","North Carolina","003","Alexander","35.9138000008966","-81.191"
"03/02/2018","AQS","370030005","1","0.046","ppm","43","Taylorsville Liledoun","17","100.0000","44201","Ozone","25860","Hickory-Lenoir-Morganton, NC","37","North Carolina","003","Alexander","35.9138000008966","-81.191"
"03/03/2018","AQS","370030005","1","0.047","ppm","44","Taylorsville Liledoun","17","100.0000","44201","Ozone","25860","Hickory-Lenoir-Morganton, NC","37","North Carolina","003","Alexander","35.9138000008966","-81.191"
"03/04/2018","AQS","370030005","1","0.049","ppm","45","Taylorsville Liledoun","17","100.0000","44201","Ozone","25860","Hickory-Lenoir-Morganton, NC","37","North Carolina","003","Alexander","35.9138000008966","-81.191"
"03/05/2018","AQS","370030005","1","0.047","ppm","44","Taylorsville Liledoun","17","100.0000","44201","Ozone","25860","Hickory-Lenoir-Morganton, NC","37","North Carolina","003","Alexander","35.9138000008966","-81.191"
"03/06/2018","AQS","370030005","1","0.03","ppm","28","Taylorsville Liledoun","17","100.0000","44201","Ozone","25860","Hickory-Lenoir-Morganton, NC","37","North Carolina","003","Alexander","35.9138000008966","-81.191"
"03/07/2018","AQS","370030005","1","0.036","ppm","33","Taylorsville Liledoun","17","100.0000","44201","Ozone","25860","Hickory-Lenoir-Morganton, NC","37","North Carolina","003","Alexander","35.9138000008966","-81.191"
"03/08/2018","AQS","370030005","1","0.044","ppm","41","Taylorsville Liledoun","17","100.0000","44201","Ozone","25860","Hickory-Lenoir-Morganton, NC","37","North Carolina","003","Alexander","35.9138000008966","-81.191"
"03/09/2018","AQS","370030005","1","0.049","ppm","45","Taylorsville Liledoun","17","100.0000","44201","Ozone","25860","Hickory-Lenoir-Morganton, NC","37","North Carolina","003","Alexander","35.9138000008966","-81.191"
"03/10/2018","AQS","370030005","1","0.043","ppm","40","Taylorsville Liledoun","17","100.0000","44201","Ozone","25860","Hickory-Lenoir-Morganton, NC","37","North Carolina","003","Alexander","35.9138000008966","-81.191"
"03/11/2018","AQS","370030005","1","0.034","ppm","31","Taylorsville Liledoun","17","100.0000","44201","Ozone","25860","Hickory-Lenoir-Morganton, NC","37","North Carolina","003","Alexander","35.9138000008966","-81.191"
"03/13/2018","AQS","370030005","1","0.046","ppm","43","Taylorsville Liledoun","17","100.0000","44201","Ozone","25860","Hickory-Lenoir-Morganton, NC","37","North Carolina","003","Alexander","35.9138000008966","-81.191"
"03/14/2018","AQS","370030005","1","0.045","ppm","42","Taylorsville Liledoun","17","100.0000","44201","Ozone","25860","Hickory-Lenoir-Morganton, NC","37","North Carolina","003","Alexander","35.9138000008966","-81.191"
"03/15/2018","AQS","370030005","1","0.059","ppm","64","Taylorsville Liledoun","17","100.0000","44201","Ozone","25860","Hickory-Lenoir-Morganton, NC","37","North Carolina","003","Alexander","35.9138000008966","-81.191"
"03/16/2018","AQS","370030005","1","0.056","ppm","54","Taylorsville Liledoun","17","100.0000","44201","Ozone","25860","Hickory-Lenoir-Morganton, NC","37","North Carolina","003","Alexander","35.9138000008966","-81.191"
"03/17/2018","AQS","370030005","1","0.054","ppm","50","Taylorsville Liledoun","17","100.0000","44201","Ozone","25860","Hickory-Lenoir-Morganton, NC","37","North Carolina","003","Alexander","35.9138000008966","-81.191"
"03/18/2018","AQS","370030005","1","0.043","ppm","40","Taylorsville Liledoun","17","100.0000","44201","Ozone","25860","Hickory-Lenoir-Morganton, NC","37","North Carolina","003","Alexander","35.9138000008966","-81.191"
"03/19/2018","AQS","370030005","1","0.041","ppm","38","Taylorsville Liledoun","17","100.0000","44201","Ozone","25860","Hickory-Lenoir-Morganton, NC","37","North Carolina","003","Alexander","35.9138000008966","-81.191"
"03/20/2018","AQS","370030005","1","0.033","ppm","31","Taylorsville Liledoun","17","100.0000","44201","Ozone","25860","Hickory-Lenoir-Morganton, NC","37","North Carolina","003","Alexander","35.9138000008966","-81.191"
"03/21/2018","AQS","370030005","1","0.038","ppm","35","Taylorsville Liledoun","17","100.0000","44201","Ozone","25860","Hickory-Lenoir-Morganton, NC","37","North Carolina","003","Alexander","35.9138000008966","-81.191"
"03/22/2018","AQS","370030005","1","0.048","ppm","44","Taylorsville Liledoun","17","100.0000","44201","Ozone","25860","Hickory-Lenoir-Morganton, NC","37","North Carolina","003","Alexander","35.9138000008966","-81.191"
"03/23/2018","AQS","370030005","1","0.053","ppm","49","Taylorsville Liledoun","17","100.0000","44201","Ozone","25860","Hickory-Lenoir-Morganton, NC","37","North Carolina","003","Alexander","35.9138000008966","-81.191"
"03/24/2018","AQS","370030005","1","0.044","ppm","41","Taylorsville Liledoun","17","100.0000","44201","Ozone","25860","Hickory-Lenoir-Morganton, NC","37","North Carolina","003","Alexander","35.9138000008966","-81.191"
"03/25/2018","AQS","370030005","1","0.049","ppm","45","Taylorsville Liledoun","17","100.0000","44201","Ozone","25860","Hickory-Lenoir-Morganton, NC","37","North Carolina","003","Alexander","35.9138000008966","-81.191"
"03/26/2018","AQS","370030005","1","0.048","ppm","44","Taylorsville Liledoun","17","100.0000","44201","Ozone","25860","Hickory-Lenoir-Morganton, NC","37","North Carolina","003","Alexander","35.9138000008966","-81.191"
"03/27/2018","AQS","370030005","1","0.038","ppm","35","Taylorsville Liledoun","17","100.0000","44201","Ozone","25860","Hickory-Lenoir-Morganton, NC","37","North Carolina","003","Alexander","35.9138000008966","-81.191"
"03/28/2018","AQS","370030005","1","0.046","ppm","43","Taylorsville Liledoun","17","100.0000","44201","Ozone","25860","Hickory-Lenoir-Morganton, NC","37","North Carolina","003","Alexander","35.9138000008966","-81.191"
"03/29/2018","AQS","370030005","1","0.052","ppm","48","Taylorsville Liledoun","17","100.0000","44201","Ozone","25860","Hickory-Lenoir-Morganton, NC","37","North Carolina","003","Alexander","35.9138000008966","-81.191"
"03/30/2018","AQS","370030005","1","0.045","ppm","42","Taylorsville Liledoun","17","100.0000","44201","Ozone","25860","Hickory-Lenoir-Morganton, NC","37","North Carolina","003","Alexander","35.9138000008966","-81.191"
"03/31/2018","AQS","370030005","1","0.052","ppm","48","Taylorsville Liledoun","17","100.0000","44201","Ozone","25860","Hickory-Lenoir-Morganton, NC","37","North Carolina","003","Alexander","35.9138000008966","-81.191"
"04/01/2018","AQS","370030005","1","0.051","ppm","47","Taylorsville Liledoun","17","100.0000","44201","Ozone","25860","Hickory-Lenoir-Morganton, NC","37","North Carolina","003","Alexander","35.9138000008966","-81.191"
"04/02/2018","AQS","370030005","1","0.055","ppm","51","Taylorsville Liledoun","17","100.0000","44201","Ozone","25860","Hickory-Lenoir-Morganton, NC","37","North Carolina","003","Alexander","35.9138000008966","-81.191"
"04/03/2018","AQS","370030005","1","0.047","ppm","44","Taylorsville Liledoun","17","100.0000","44201","Ozone","25860","Hickory-Lenoir-Morganton, NC","37","North Carolina","003","Alexander","35.9138000008966","-81.191"
"04/04/2018","AQS","370030005","1","0.047","ppm","44","Taylorsville Liledoun","17","100.0000","44201","Ozone","25860","Hickory-Lenoir-Morganton, NC","37","North Carolina","003","Alexander","35.9138000008966","-81.191"
"04/05/2018","AQS","370030005","1","0.052","ppm","48","Taylorsville Liledoun","17","100.0000","44201","Ozone","25860","Hickory-Lenoir-Morganton, NC","37","North Carolina","003","Alexander","35.9138000008966","-81.191"
"04/06/2018","AQS","370030005","1","0.056","ppm","54","Taylorsville Liledoun","17","100.0000","44201","Ozone","25860","Hickory-Lenoir-Morganton, NC","37","North Carolina","003","Alexander","35.9138000008966","-81.191"
"04/07/2018","AQS","370030005","1","0.043","ppm","40","Taylorsville Liledoun","17","100.0000","44201","Ozone","25860","Hickory-Lenoir-Morganton, NC","37","North Carolina","003","Alexander","35.9138000008966","-81.191"
"04/08/2018","AQS","370030005","1","0.047","ppm","44","Taylorsville Liledoun","17","100.0000","44201","Ozone","25860","Hickory-Lenoir-Morganton, NC","37","North Carolina","003","Alexander","35.9138000008966","-81.191"
"04/09/2018","AQS","370030005","1","0.036","ppm","33","Taylorsville Liledoun","17","100.0000","44201","Ozone","25860","Hickory-Lenoir-Morganton, NC","37","North Carolina","003","Alexander","35.9138000008966","-81.191"
"04/10/2018","AQS","370030005","1","0.046","ppm","43","Taylorsville Liledoun","17","100.0000","44201","Ozone","25860","Hickory-Lenoir-Morganton, NC","37","North Carolina","003","Alexander","35.9138000008966","-81.191"
"04/11/2018","AQS","370030005","1","0.048","ppm","44","Taylorsville Liledoun","17","100.0000","44201","Ozone","25860","Hickory-Lenoir-Morganton, NC","37","North Carolina","003","Alexander","35.9138000008966","-81.191"
"04/12/2018","AQS","370030005","1","0.057","ppm","58","Taylorsville Liledoun","17","100.0000","44201","Ozone","25860","Hickory-Lenoir-Morganton, NC","37","North Carolina","003","Alexander","35.9138000008966","-81.191"
"04/13/2018","AQS","370030005","1","0.063","ppm","77","Taylorsville Liledoun","17","100.0000","44201","Ozone","25860","Hickory-Lenoir-Morganton, NC","37","North Carolina","003","Alexander","35.9138000008966","-81.191"
"04/14/2018","AQS","370030005","1","0.047","ppm","44","Taylorsville Liledoun","17","100.0000","44201","Ozone","25860","Hickory-Lenoir-Morganton, NC","37","North Carolina","003","Alexander","35.9138000008966","-81.191"
"04/15/2018","AQS","370030005","1","0.036","ppm","33","Taylorsville Liledoun","17","100.0000","44201","Ozone","25860","Hickory-Lenoir-Morganton, NC","37","North Carolina","003","Alexander","35.9138000008966","-81.191"
