"","Date","DAILY_AQI_VALUE","Site.Name","AQS_PARAMETER_DESC","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"1",2019-01-01,27,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"2",2019-01-02,17,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"3",2019-01-03,15,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"4",2019-01-04,20,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"5",2019-01-05,34,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"6",2019-01-06,34,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"7",2019-01-07,27,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"8",2019-01-08,35,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"9",2019-01-09,35,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"10",2019-01-10,28,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"11",2019-01-11,27,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"12",2019-01-12,25,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"13",2019-01-13,31,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"14",2019-01-14,27,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"15",2019-01-15,33,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"16",2019-01-16,35,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"17",2019-01-17,24,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"18",2019-01-18,16,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"19",2019-01-19,29,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"20",2019-01-20,37,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"21",2019-01-21,36,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"22",2019-01-23,21,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"23",2019-01-24,30,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"24",2019-01-25,36,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"25",2019-01-26,38,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"26",2019-01-27,33,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"27",2019-01-28,38,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"28",2019-01-29,35,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"29",2019-01-30,39,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"30",2019-01-31,33,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"31",2019-02-01,30,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"32",2019-02-02,37,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"33",2019-02-03,42,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"34",2019-02-04,44,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"35",2019-02-05,33,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"36",2019-02-06,24,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"37",2019-02-07,33,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"38",2019-02-08,40,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"39",2019-02-09,38,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"40",2019-02-10,32,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"41",2019-02-11,20,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"42",2019-02-12,23,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"43",2019-02-13,43,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"44",2019-02-14,39,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"45",2019-02-15,36,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"46",2019-02-16,35,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"47",2019-02-17,32,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"48",2019-02-18,35,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"49",2019-02-21,24,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"50",2019-02-22,32,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"51",2019-02-23,32,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"52",2019-02-24,44,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"53",2019-02-25,44,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"54",2019-02-26,44,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"55",2019-02-27,23,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"56",2019-02-28,35,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"57",2019-03-01,22,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"58",2019-03-02,27,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"59",2019-03-03,21,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"60",2019-03-04,40,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"61",2019-03-05,43,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"62",2019-03-06,44,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"63",2019-03-07,44,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"64",2019-03-08,32,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"65",2019-03-09,24,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"66",2019-03-10,30,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"67",2019-03-11,39,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"68",2019-03-12,46,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"69",2019-03-13,50,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"70",2019-03-14,43,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"71",2019-03-15,40,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"72",2019-03-16,44,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"73",2019-03-17,45,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"74",2019-03-18,47,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"75",2019-03-19,48,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"76",2019-03-20,58,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"77",2019-03-21,54,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"78",2019-03-22,49,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"79",2019-03-23,49,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"80",2019-03-24,74,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"81",2019-03-25,40,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"82",2019-03-26,36,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"83",2019-03-27,47,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"84",2019-03-28,61,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"85",2019-03-29,71,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"86",2019-03-30,54,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"87",2019-03-31,43,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"88",2019-04-01,45,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"89",2019-04-02,49,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"90",2019-04-03,61,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"91",2019-04-04,80,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"92",2019-04-05,40,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"93",2019-04-06,44,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"94",2019-04-07,32,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"95",2019-04-08,31,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"96",2019-04-09,38,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"97",2019-04-10,61,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"98",2019-04-11,58,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
