"lakename","month","meantemp","sdtemp","meanTN","sdTN","meanTP","sdTP"
"Paul Lake",5,15.2454545454545,2.52085843964457,368.191,103.111807066892,11.9966363636364,5.42785280332338
"Paul Lake",6,20.5565217391304,3.21344138480801,367.301782608696,129.550695294775,10.5077391304348,4.31354338858639
"Paul Lake",7,22.3181818181818,1.59959410435938,371.628863636364,53.0626254984621,9.17486363636364,3.7056062969693
"Paul Lake",8,21.8714285714286,1.6649753322926,360.297285714286,109.921444515228,9.66071428571429,1.70802936575625
"Paul Lake",9,17.4666666666667,1.53969693987702,344.066333333333,166.409331140614,12.4323333333333,4.55161275447139
"Peter Lake",5,15.8857142857143,2.62703610202043,405.049285714286,97.9344676807511,13.9594285714286,4.54403605271257
"Peter Lake",6,20.1851851851852,3.09499642148466,554.612925925926,324.99144048266,18.6881851851852,13.7695863130894
"Peter Lake",7,21.8,1.79822134343912,571.683846153846,368.752584634488,18.8212692307692,12.2425642626296
"Peter Lake",8,21.5615384615385,1.6663917722017,612.479038461538,357.722226604552,18.9462692307692,9.23936568626956
"Peter Lake",9,18.14,1.76861527755473,459.4612,128.392611957231,12.336,6.04620215507222
